entry_id,name_it,name_ja,name_en,item,sub_item,region,certification,status
IT-VEG-TOM-007,Pomodoro Riccio di Parma,リッチョ・ディ・パルマ,Riccio di Parma Tomato,トマト,加工用トマト,Emilia-Romagna,PAT,pending
IT-VEG-TOM-008,Pomodoro Camone,カモーネトマト,Camone Tomato,トマト,,Sardegna,PAT,pending
IT-VEG-TOM-009,Pomodoro di Belmonte,ベルモンテトマト,Belmonte Tomato,トマト,大玉トマト,Calabria,PAT,pending
IT-VEG-CHI-001,Radicchio di Chioggia,キオッジャのラディッキオ,Chioggia Radicchio,チコリー|ラディッキオ,,Veneto,IGP,pending
IT-VEG-CHI-002,Radicchio di Verona,ヴェローナのラディッキオ,Verona Radicchio,チコリー|ラディッキオ,,Veneto,IGP,pending
IT-VEG-CHI-003,Radicchio Rosso di Treviso,トレヴィーゾの赤ラディッキオ,Red Radicchio of Treviso,チコリー|ラディッキオ,赤ラディッキオ,Veneto,IGP,pending
IT-VEG-CHI-004,Radicchio Variegato di Castelfranco,カステルフランコの斑入りラディッキオ,Variegated Radicchio of Castelfranco,チコリー|ラディッキオ,斑入りラディッキオ,Veneto,IGP,pending
IT-VEG-LEF-002,Rucola della Piana del Sele,セーレ平野のルッコラ,Arugula of the Sele Plain,ルッコラ|ハーブ,,Campania,IGP,pending
IT-VEG-ONI-004,Scalogno di Romagna,ロマーニャのエシャロット,Romagna Shallot,タマネギ|エシャロット,,Emilia-Romagna,IGP,pending
IT-VEG-CEL-001,Sedano Bianco di Sperlonga,スペルロンガの白セロリ,White Celery of Sperlonga,セロリ,白セロリ,Lazio,IGP,pending
IT-VEG-KAL-001,Cavolo Nero di Toscana,トスカーナのカーボロネロ,Tuscan Black Kale (Lacinato),ケール・カーボロネロ,カーボロネロ,Toscana,PAT,pending
IT-VEG-KAL-002,Cavolo Riccio (Cole Rizze),プーリアのカーボロ・リッチョ,Curly Kale (Cole Rizze),ケール・カーボロネロ,カーボロ・リッチョ,Puglia,PAT,pending
